channelId,videoId,authorDisplayName,authorChannelId,authorChannelUrl,authorProfileImageUrl,textDisplay,textOriginal,likeCount,viewerRating,canRate,publishedAt,updatedAt
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@naertvshow-o9x,UCPysWGAa9mpNIkhYKSHGAKw,http://www.youtube.com/@naertvshow-o9x,https://yt3.ggpht.com/G8ILelddrFUbrwvBjtQgJE9ZVDtFJvbOV-CRBNw8YWph7APtanQdARebhRkLuFVzSp9uC0G14JM=s48-c-k-c0x00ffffff-no-rj,Não pode!!,Não pode!!,0,none,True,2024-11-19T20:59:05Z,2024-11-19T20:59:05Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@SetagayaMari_69.420,UCYkjSTE9SfDKhzoPz-kacfA,http://www.youtube.com/@SetagayaMari_69.420,https://yt3.ggpht.com/Fzdsb2c2HzZe2y7djDGYPvIV33Pzel67X2yBtck19C4Q4b5XJvcG0XYfNO3c3xJhGjXksO2RTw=s48-c-k-c0x00ffffff-no-rj,"Se vocês dois fossem professores, eu nunca faltaria na escola","Se vocês dois fossem professores, eu nunca faltaria na escola",4,none,True,2024-11-19T20:58:32Z,2024-11-19T20:58:32Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@starkittyangel,UCNmiH62YVkN03DJMQ02-eOg,http://www.youtube.com/@starkittyangel,https://yt3.ggpht.com/tCc3m3lkND1guJ4KyJ5HN5p9cdoiZ_exwP8iLPVaUd7XREj6y8K0aG-Vd6AMsf664hBUOgvtda0=s48-c-k-c0x00ffffff-no-rj,Esse é o vídeo que eu precisava 🤩🤩🤩🤩,Esse é o vídeo que eu precisava 🤩🤩🤩🤩,2,none,True,2024-11-19T20:56:08Z,2024-11-19T20:56:08Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@JoséCarlosJesusBispo-n1p,UCf7wfgz70Kbe4BibEIu9rUA,http://www.youtube.com/@Jos%C3%A9CarlosJesusBispo-n1p,https://yt3.ggpht.com/ytc/AIdro_nQWtDjnkGaIYmOsk65bxLAmt6sDD9KGCnr9j4CzKha7Ht707dqW4PbsI-coFFXsWHIFA=s48-c-k-c0x00ffffff-no-rj,Gosto desses tipo de conteúdos,Gosto desses tipo de conteúdos,0,none,True,2024-11-19T20:55:26Z,2024-11-19T20:55:26Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@eldimartins3442,UCk54-H1bpHtYFR4dV4qeV2g,http://www.youtube.com/@eldimartins3442,https://yt3.ggpht.com/ytc/AIdro_nwbuPTwa6yEPDb6Cea3WwTTh79roWcve8hFtgd_sE=s48-c-k-c0x00ffffff-no-rj,A FOTO NA PEREDE SOS SIMPSINS ANTES DA MEG NACER E DA LIZA PEQUENININHA😉👍😂😂😂,A FOTO NA PEREDE SOS SIMPSINS ANTES DA MEG NACER E DA LIZA PEQUENININHA😉👍😂😂😂,0,none,True,2024-11-19T20:51:44Z,2024-11-19T20:51:44Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@eldimartins3442,UCk54-H1bpHtYFR4dV4qeV2g,http://www.youtube.com/@eldimartins3442,https://yt3.ggpht.com/ytc/AIdro_nwbuPTwa6yEPDb6Cea3WwTTh79roWcve8hFtgd_sE=s48-c-k-c0x00ffffff-no-rj,SI OS SMORFES SAO AZUIZ PORQ OS SIMPSONS NAO PODEIM SER AMARELOS? RS RS RS,SI OS SMORFES SAO AZUIZ PORQ OS SIMPSONS NAO PODEIM SER AMARELOS? RS RS RS,0,none,True,2024-11-19T20:50:55Z,2024-11-19T20:50:55Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@Álefe.7,UC2JrlFLHPfyFaF9qL497HPg,http://www.youtube.com/@%C3%81lefe.7,https://yt3.ggpht.com/1sN9kdIUdjRYFB82yTQsnapN0e4dcyNqDDC62UU0c9ROul6BzYbigWypsNmg_CzV9oKvSByx=s48-c-k-c0x00ffffff-no-rj,Salveee,Salveee,0,none,True,2024-11-19T20:46:09Z,2024-11-19T20:46:09Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@josealisson6325,UC7M_4T_zfJKbJ7k2EFx1aXw,http://www.youtube.com/@josealisson6325,https://yt3.ggpht.com/ytc/AIdro_mmFnB-mzeiH6tSfj8_PbFBg_76oofUkkvWbklDlnI=s48-c-k-c0x00ffffff-no-rj,Top o vídeo você sabia !!,Top o vídeo você sabia !!,1,none,True,2024-11-19T20:40:51Z,2024-11-19T20:40:51Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@cleberbinho7478,UCHKqt2KIDf7xdnVP3UXLvNw,http://www.youtube.com/@cleberbinho7478,https://yt3.ggpht.com/ytc/AIdro_mtuB6i78oMKkZmQYX20-nfwr5YjyBLUAxZy46geOP2eA=s48-c-k-c0x00ffffff-no-rj,Cada um Dos Dez (10) Segredos Dos Desenhos Animados merecem ser contados para saber Todos os Detalhes e Descobertas nunca Revelados ! Mais uma aula Dos ótimos Lukas Marques e Daniel Molo do maravilhoso Você Sabia sensacional ! Um show de conhecimento sobre Grandes Curiosidades do Mundo Todo 😮😮😮😮,Cada um Dos Dez (10) Segredos Dos Desenhos Animados merecem ser contados para saber Todos os Detalhes e Descobertas nunca Revelados ! Mais uma aula Dos ótimos Lukas Marques e Daniel Molo do maravilhoso Você Sabia sensacional ! Um show de conhecimento sobre Grandes Curiosidades do Mundo Todo 😮😮😮😮,36,none,True,2024-11-19T20:36:16Z,2024-11-19T20:36:16Z
UCj0O6W8yDuLg3iraAXKgCrQ,3ekLEtjfDG4,@Fernanda-b6l5l,UCDJS1rQKaKOYdfGUyn9TjTA,http://www.youtube.com/@Fernanda-b6l5l,https://yt3.ggpht.com/YCA1qxDe8zQZI8xZYeQgq9JOI_2kvsQX4ZAHKZ4IGVTabIiMifdgI7_R2LyRHFZ_1LqguqYLKw=s48-c-k-c0x00ffffff-no-rj,Nossa do Cosme é vanda😮,Nossa do Cosme é vanda😮,0,none,True,2024-11-19T20:33:50Z,2024-11-19T20:33:50Z
